Datum;Zuletzt;Eröffn.;Hoch;Tief;Vol.;+/- %
16.08.2015;116,37;127,74;129,11;116,37;12,35M;-8,30%
09.08.2015;126,9;132,61;133,25;125,13;9,85M;-4,23%
02.08.2015;132,51;131,28;135,61;131,13;8,59M;0,26%
26.07.2015;132,16;128,42;134,77;125,32;11,56M;2,52%
19.07.2015;128,92;132,41;135,41;128,92;8,19M;-4,34%
12.07.2015;134,77;133,25;135,81;131,82;10,94M;3,16%
05.07.2015;130,64;120,75;130,84;119,12;14,68M;5,48%
28.06.2015;123,85;124,83;128,57;123,01;13,71M;-5,34%
21.06.2015;130,84;128,97;133,49;128,08;12,16M;4,11%
14.06.2015;125,67;123,06;128,03;120,06;16,34M;0,28%
07.06.2015;125,32;123,5;129,65;121,09;11,79M;0,83%
31.05.2015;124,29;127,93;129,56;123,65;9,59M;-2,21%
24.05.2015;127,1;135,02;136,3;127,1;10,47M;-5,80%
17.05.2015;134,92;128,67;135,81;127,98;8,85M;5,09%
10.05.2015;128,38;130,88;131,03;124,73;12,71M;-1,73%
03.05.2015;130,64;128,52;130,64;122,13;13,68M;2,20%
26.04.2015;127,83;133,74;136,2;124,49;10,99M;-4,00%
19.04.2015;133,15;132,07;136,99;131,38;9,99M;1,35%
12.04.2015;131,38;143,97;144,12;131,28;11,50M;-8,68%
05.04.2015;143,87;138,22;143,87;137,23;7,13M;5,33%
29.03.2015;136,59;137,67;140,77;136,44;7,87M;-0,26%
22.03.2015;136,94;140,82;141,17;132,07;10,44M;-3,33%
15.03.2015;141,66;139,94;143,53;138,71;15,01M;1,58%
08.03.2015;139,45;131,48;139,45;130,59;9,73M;6,03%
01.03.2015;131,52;130,15;132,36;127,78;9,01M;1,21%
22.02.2015;129,95;124,19;131,03;123,8;10,67M;6,06%
15.02.2015;122,52;124,54;124,73;121,58;10,42M;-1,54%
08.02.2015;124,44;122,13;125,87;118,78;11,35M;0,96%
01.02.2015;123,26;126,01;129,61;121,93;11,40M;-2,18%
25.01.2015;126,01;125,13;128,82;124,73;11,44M;-0,04%
